ID,name,loc,country,country_id,rank_raw,rank,scholarship,status,research_output,student_faculty_ratio,int_students,size,total_faculty,link,admission_raw,city,tuition_fee_raw,currency,exchange_rate,fee_min,fee_max,fee_avg,fee_min_usd,fee_max_usd,fee_avg_usd
1,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) Cambridge, United States",United States,104,1,1,,Private,Very High,4,3798,M,"3,011",https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,"BSC:
- SAT: 1520+
- TOEFL: 100+

MSC:
- GMAT: 728+
- IELTS: 7+
- TOEFL: 90+",Massachusetts Institute of Technology (MIT) Cambridge,61990,USD,1,61990,61990,61990,61990,61990,61990
2,Imperial College London,"South Kensington Campus, London, United Kingdom +8",United Kingdom,103,2,2,Yes,Public,Very High,5,9230,L,,https://www.topuniversities.com/universities/imperial-college-london,"BSC:
- TOEFL: 92+
- IELTS: 6.5+

MSC:
- GRE: 314+
- TOEFL: 92+
- GMAT: 600+
- IELTS: 6.5+
- GPA: 2.7+",London,"39,100 - 53,700",GBP,1.25,39100,53700,46400,48875,67125,58000
3,University of Oxford,"Wellington Square, Oxford, GB, Oxford, United Kingdom +1",United Kingdom,103,3,3,Yes,Public,Very High,3,9087,L,"6,598",https://www.topuniversities.com/universities/university-oxford,"BSC:
- SAT: 1470+
- ATAR: 98.5+
- IELTS: 7+
- TOEFL: 100+

MSC:
- GRE: 260+
- GPA: 3.3+
- IELTS: 7+
- TOEFL: 100+",Oxford,"35,260 - 59,260",GBP,1.25,35260,59260,47260,44075,74075,59075
4,Harvard University,"Harvard College, Cambridge, United States +2",United States,104,4,4,,Private,Very High,6,6470,L,"4,422",https://www.topuniversities.com/universities/harvard-university,"BSC:
- SAT: 1470+
- TOEFL: 80+

MSC:
- GMAT: 610+
- GRE: 298+
- GPA: 3.4+
- TOEFL: 80+",Cambridge,59320,USD,1,59320,59320,59320,59320,59320,59320
5,University of Cambridge,"University of Cambridge Cambridge, United Kingdom",United Kingdom,103,5,5,Yes,Public,Very High,4,7973,L,"5,502",https://www.topuniversities.com/universities/university-cambridge,"BSC:
- TOEFL: 100+
- IELTS: 7+
- SAT: 1460+
- ATAR: 98.5+

MSC:
- TOEFL: 100+
- GPA: 3.25+
- IELTS: 7+",University of Cambridge Cambridge,"27,024 - 70,554",GBP,1.25,27024,70554,48789,33780,88192.5,60986.25
6,Stanford University,"Stanford University Stanford, United States",United States,104,6,6,,Private,Very High,4,4300,L,"4,909",https://www.topuniversities.com/universities/stanford-university,"BSC:
- SAT: 1420+
- TOEFL: 101+

MSC:
- GMAT: 600+
- GRE: 307+
- GPA: 3.72+
- TOEFL: 101+",Stanford University Stanford,66000,USD,1,66000,66000,66000,66000,66000,66000
7,ETH Zurich,"ETH Zurich - Swiss Federal Institute of Technology, Zürich, Switzerland +2",Switzerland,95,7,7,,Public,Very High,8,9551,L,,https://www.topuniversities.com/universities/eth-zurich,"BSC:
- International Baccalaureate: 38+
- Own admission test: 4+

MSC:
- GRE: 0+
- TOEFL: 100+
- IELTS: 7+
- Cambridge CAE Advanced: 193+
- Bachelor GPA: 0+",Zürich,"18,000 - 27,000",CHF,1.11,18000,27000,22500,19980,29970,24975
8,National University of Singapore (NUS),"Kent Ridge Campus, Singapore, Singapore +2",Singapore,87,8,8,,Public,Very High,7,12057,XL,,https://www.topuniversities.com/universities/national-university-singapore-nus,"BSC:
- GPA: 3.6+
- GRE: 320+
- GMAT: 550+
- ACT: 29+
- SAT: 1250+
- ATAR: 90+
- International Baccalaureate: 37+
- PTE Academic: 62+
- Cambridge CAE Advanced: 180+
- TOEFL: 85+
- IELTS: 6+",Singapore,"17,950 - 73,550",SGD,0.73,17950,73550,45750,13103.5,53691.5,33397.5
9,UCL,"UCL Bloomsbury, London, United Kingdom +8",United Kingdom,103,9,9,Yes,Public,Very High,6,26184,XL,,https://www.topuniversities.com/universities/ucl,"BSC:
- GPA: 3.5+
- GRE: 322+
- GMAT: 600+
- ACT: 32+
- SAT: 1490+
- ATAR: 96+
- International Baccalaureate: 39+
- PTE Academic: 62+
- Cambridge CAE Advanced: 176+
- TOEFL: 92+
- IELTS: 6.5+

MSC:
- GMAT: 600+
- GRE: 260+
- GPA: 2.7+
- IELTS: 6.5+
- TOEFL: 92+",London,"29,800 - 39,800",GBP,1.25,29800,39800,34800,37250,49750,43500
10,California Institute of Technology (Caltech),"California Institute of Technology (Caltech) Pasadena, United States",United States,104,10,10,,Private,Very High,3,718,S,943,https://www.topuniversities.com/universities/california-institute-technology-caltech,"BSC:
- SAT: 1520+
- GPA: 3+
- TOEFL: 110+

MSC:
- GRE: 329+
- GPA: 3+",California Institute of Technology (Caltech) Pasadena,65622,USD,1,65622,65622,65622,65622,65622,65622
11,University of Pennsylvania,"University of Pennsylvania, Philadelphia, United States +1",United States,104,11,11,Yes,Private,Very High,4,5821,L,"5,288",https://www.topuniversities.com/universities/university-pennsylvania,"BSC:
- SAT: 1420+
- GMAT: 500+
- GRE: 304+
- GPA: 3+
- IELTS: 7+
- TOEFL: 100+

MSC:
- GMAT: 500+
- GRE: 304+
- GPA: 3+
- IELTS: 7+
- TOEFL: 100+",Philadelphia,63204,USD,1,63204,63204,63204,63204,63204,63204
12,"University of California, Berkeley (UCB)","University of California, Berkeley (UCB) Berkeley, United States",United States,104,12,12,,Public,Very High,11,10307,XL,"3,697",https://www.topuniversities.com/universities/university-california-berkeley-ucb,"BSC:
- SAT: 1340+
- GPA: 3+
- IELTS: 6+
- TOEFL: 80+

MSC:
- GMAT: 690+
- GRE: 320+
- GPA: 3+
- IELTS: 7+
- TOEFL: 90+",Berkeley (UCB) Berkeley,"37000 - 54,200",USD,1,37000,54200,45600,37000,54200,45600
13,The University of Melbourne,"Parkville Campus, Parkville, Australia +6",Australia,3,13,13,Yes,Public,Very High,13,22437,XL,"3,555",https://www.topuniversities.com/universities/university-melbourne,"BSC:
- SAT: 1250+
- ATAR: 70+
- IELTS: 6.5+
- TOEFL: 79+

MSC:
- GMAT: 680+
- IELTS: 6.5+
- TOEFL: 79+",Parkville,"37,312 - 214,400",AUD,0.66,37312,214400,125856,24625.92,141504,83064.96
14,Peking University,"No. 5 Yiheyuan Road, Haidian District, Beijing, CN Beijing, China (Mainland)",China (Mainland),16,14,14,,Public,Very High,6,5115,XL,"6,093",https://www.topuniversities.com/universities/peking-university,,CN Beijing,"26,000 - 30,000",CNY,0.14,26000,30000,28000,3640,4200,3920
